datetime,plant_id,plant_name,gen_mw,prev_gen,drop,year,month_str,ptf_tl_mwh,ptf_fallback,ptf_source,energy_lost_mwh,revenue_loss_tl,balancing_cost_tl,total_loss_tl,tl_usd_rate,total_loss_usd,yekdem_loss_usd
2022-09-13 00:00:00+00:00,13604,KOCATEPE RES(İzdem),0.45,87.0,86.55,2022,2022-09,3774.29,2347.5,actual,86.55,326664.79949999996,48999.71992499999,375664.51942499995,16.5,22767.54663181818,6318.15
2023-06-16 20:00:00+00:00,13604,KOCATEPE RES(İzdem),0.0,80.35,80.35,2023,2023-06,1629.98,2183.385,actual,80.35,130968.893,19645.33395,150614.22694999998,23.0,6548.4446499999995,5865.549999999999
2023-09-07 20:00:00+00:00,13604,KOCATEPE RES(İzdem),9.22,52.91,43.69,2023,2023-09,1729.99,2183.385,actual,43.69,75583.2631,11337.489464999999,86920.752565,23.0,3779.163155,3189.37
2023-10-10 10:00:00+00:00,13604,KOCATEPE RES(İzdem),2.18,87.0,84.82,2023,2023-10,2178.99,2183.385,actual,84.82,184821.93179999996,27723.289769999992,212545.22156999997,23.0,9241.09659,6191.86
2024-06-29 22:00:00+00:00,13604,KOCATEPE RES(İzdem),0.0,66.67,66.67,2024,2024-06,2699.89,2383.24,actual,66.67,180001.66629999998,27000.249944999996,207001.91624499997,32.5,6369.289730615384,4866.91
2024-07-10 19:00:00+00:00,13604,KOCATEPE RES(İzdem),5.97,51.6,45.63,2024,2024-07,2999.99,2383.24,actual,45.63,136889.5437,20533.431555,157422.975255,32.5,4843.783854,3330.9900000000002
2024-08-27 18:00:00+00:00,13604,KOCATEPE RES(İzdem),8.71,53.7,44.99,2024,2024-08,3000.0,2383.24,actual,44.99,134970.0,20245.5,155215.5,32.5,4775.861538461539,3284.27
2024-12-15 05:00:00+00:00,13604,KOCATEPE RES(İzdem),0.0,71.31,71.31,2024,2024-12,1650.0,2383.24,actual,71.31,117661.5,17649.225,135310.725,32.5,4163.406923076924,5205.63
2025-03-31 07:00:00+00:00,13604,KOCATEPE RES(İzdem),0.0,71.59,71.59,2025,2025-03,266.99,2500.01,actual,71.59,19113.814100000003,2867.0721150000004,21980.886215000002,36.0,610.5801726388889,5226.070000000001
2022-06-02 20:00:00+00:00,13923,TATLIPINAR RES,7.64,52.65,45.01,2022,2022-06,2256.03,2347.5,actual,45.01,101543.9103,15231.586545,116775.496845,16.5,7077.302839090909,3285.73
2022-06-23 13:00:00+00:00,13923,TATLIPINAR RES,5.24,63.6,58.36,2022,2022-06,2579.5,2347.5,actual,58.36,150539.62,22580.943,173120.563,16.5,10492.155333333332,4260.28
2022-07-10 01:00:00+00:00,13923,TATLIPINAR RES,7.87,50.56,42.690000000000005,2022,2022-07,1499.99,2347.5,actual,42.690000000000005,64034.57310000001,9605.185965,73639.759065,16.5,4463.015700909091,3116.3700000000003
2024-05-23 13:00:00+00:00,13923,TATLIPINAR RES,4.87,67.65,62.78000000000001,2024,2024-05,2450.0,2383.24,actual,62.78000000000001,153811.00000000003,23071.650000000005,176882.65000000002,32.5,5442.543076923078,4582.9400000000005
2025-03-16 07:00:00+00:00,13923,TATLIPINAR RES,7.24,111.42,104.18,2025,2025-03,0.0,2500.01,actual,104.18,0.0,0.0,0.0,36.0,0.0,7605.14
2022-05-13 07:00:00+00:00,14843,MUTLU RES 5,0.85,51.0,50.15,2022,2022-05,1999.99,2347.5,actual,50.15,100299.4985,15044.924775,115344.42327500001,16.5,6990.571107575758,3660.95
2025-04-20 01:00:00+00:00,14843,MUTLU RES 5,0.0,73.5,73.5,2025,2025-04,2800.0,2500.01,actual,73.5,205800.0,30870.0,236670.0,36.0,6574.166666666667,5365.5
2023-02-20 06:00:00+00:00,14884,VİZE-2 RES,8.82,52.66,43.839999999999996,2023,2023-02,3231.99,2183.385,actual,43.839999999999996,141690.4416,21253.566239999996,162944.00783999998,23.0,7084.522079999999,3200.3199999999997
2023-03-26 02:00:00+00:00,14884,VİZE-2 RES,0.08,55.29,55.21,2023,2023-03,2949.99,2183.385,actual,55.21,162868.9479,24430.342184999998,187299.290085,23.0,8143.447394999999,4030.33
2023-06-20 13:00:00+00:00,14884,VİZE-2 RES,1.68,57.9,56.22,2023,2023-06,2000.0,2183.385,actual,56.22,112440.0,16866.0,129306.0,23.0,5622.0,4104.0599999999995
2024-01-20 01:00:00+00:00,14884,VİZE-2 RES,7.16,60.69,53.53,2024,2024-01,1500.01,2383.24,actual,53.53,80295.5353,12044.330295,92339.86559500001,32.5,2841.226633692308,3907.69
2025-03-16 19:00:00+00:00,14884,VİZE-2 RES,7.65,67.41,59.76,2025,2025-03,2199.0,2500.01,actual,59.76,131412.24,19711.836,151124.076,36.0,4197.891,4362.48
2022-07-23 04:00:00+00:00,15163,SAROS RES,6.68,70.48,63.800000000000004,2022,2022-07,1475.49,2347.5,actual,63.800000000000004,94136.262,14120.4393,108256.7013,16.5,6561.0122,4657.400000000001
2023-03-28 02:00:00+00:00,15163,SAROS RES,1.0,59.59,58.59,2023,2023-03,1640.0,2183.385,actual,58.59,96087.6,14413.140000000001,110500.74,23.0,4804.38,4277.070000000001
2023-03-28 13:00:00+00:00,15163,SAROS RES,0.91,99.44,98.53,2023,2023-03,2490.01,2183.385,actual,98.53,245340.6853,36801.102795,282141.788095,23.0,12267.034265,7192.6900000000005
2023-06-17 07:00:00+00:00,15163,SAROS RES,4.25,64.75,60.5,2023,2023-06,1349.01,2183.385,actual,60.5,81615.105,12242.265749999999,93857.37075,23.0,4080.75525,4416.5
2023-06-20 17:00:00+00:00,15163,SAROS RES,7.44,69.84,62.400000000000006,2023,2023-06,2400.0,2183.385,actual,62.400000000000006,149760.0,22464.0,172224.0,23.0,7488.0,4555.200000000001
2023-12-22 22:00:00+00:00,15163,SAROS RES,5.72,71.75,66.03,2023,2023-12,2290.0,2183.385,actual,66.03,151208.7,22681.305,173890.005,23.0,7560.435,4820.1900000000005
2024-01-01 21:00:00+00:00,15163,SAROS RES,0.0,75.87,75.87,2024,2024-01,1299.99,2383.24,actual,75.87,98630.24130000001,14794.536195,113424.77749500002,32.5,3489.993153692308,5538.51
2024-01-02 08:00:00+00:00,15163,SAROS RES,0.0,55.16,55.16,2024,2024-01,2399.98,2383.24,actual,55.16,132382.8968,19857.43452,152240.33132,32.5,4684.31788676923,4026.68
2024-01-04 18:00:00+00:00,15163,SAROS RES,0.0,99.69,99.69,2024,2024-01,2360.0,2383.24,actual,99.69,235268.4,35290.259999999995,270558.66,32.5,8324.881846153845,7277.37
2024-01-04 22:00:00+00:00,15163,SAROS RES,0.0,87.34,87.34,2024,2024-01,1694.17,2383.24,actual,87.34,147968.8078,22195.32117,170164.12897000002,32.5,5235.8193529230775,6375.820000000001
2024-01-14 18:00:00+00:00,15163,SAROS RES,0.0,67.27,67.27,2024,2024-01,2395.49,2383.24,actual,67.27,161144.61229999998,24171.691844999998,185316.30414499997,32.5,5702.040127538461,4910.71
2024-01-18 08:00:00+00:00,15163,SAROS RES,0.0,103.25,103.25,2024,2024-01,2499.67,2383.24,actual,103.25,258090.92750000002,38713.639125,296804.56662500004,32.5,9132.448203846156,7537.25
2024-01-18 22:00:00+00:00,15163,SAROS RES,0.0,61.56,61.56,2024,2024-01,1232.61,2383.24,actual,61.56,75879.47159999999,11381.920739999998,87261.39233999999,32.5,2684.965918153846,4493.88
2024-01-19 03:00:00+00:00,15163,SAROS RES,0.0,65.5,65.5,2024,2024-01,1229.62,2383.24,actual,65.5,80540.10999999999,12081.016499999998,92621.12649999998,32.5,2849.880815384615,4781.5
